objectid,id,cancer,resp,pm25,p_pm25
71708,180973101031,28.471856995,0.411835462432,9.62216092896,83.3560391994
71709,180973101032,28.471856995,0.411835462432,9.62216092896,83.3560391994
71710,180973101033,28.471856995,0.411835462432,9.62216092896,83.3560391994
71711,180973101034,28.471856995,0.411835462432,9.62216092896,83.3560391994
71712,180973101041,29.5839894565,0.416751072751,9.64386557377,83.7424222861
71713,180973101042,29.5839894565,0.416751072751,9.64386557377,83.7424222861
71714,180973101043,29.5839894565,0.416751072751,9.64386557377,83.7424222861
71715,180973101051,29.3113296645,0.423105375725,9.66987595628,84.202677506
71716,180973101052,29.3113296645,0.423105375725,9.66987595628,84.202677506
71717,180973101061,29.4446978793,0.404820141636,9.69867622951,84.6835073523
71718,180973101062,29.4446978793,0.404820141636,9.69867622951,84.6835073523
71719,180973101081,28.1014462899,0.392451856795,9.6603204918,84.0280890932
71720,180973101082,28.1014462899,0.392451856795,9.6603204918,84.0280890932
71721,180973101101,30.0474746928,0.439343652648,9.71404180328,84.9538058377
71722,180973101102,30.0474746928,0.439343652648,9.71404180328,84.9538058377
71723,180973101111,29.1868650274,0.411522234814,9.72099016393,85.0907303989
71724,180973101112,29.1868650274,0.411522234814,9.72099016393,85.0907303989
71725,180973102011,29.0387754746,0.413934875558,9.69092650273,84.556840466
71726,180973102012,29.0387754746,0.413934875558,9.69092650273,84.556840466
71727,180973102031,29.6280833902,0.437358162238,9.70613415301,84.823257118
71728,180973102032,29.6280833902,0.437358162238,9.70613415301,84.823257118
71729,180973102033,29.6280833902,0.437358162238,9.70613415301,84.823257118
71730,180973102041,29.201408252,0.403984440707,9.74696967213,85.5111395101
71731,180973102042,29.201408252,0.403984440707,9.74696967213,85.5111395101
71732,180973102043,29.201408252,0.403984440707,9.74696967213,85.5111395101
71733,180973103051,30.0469817579,0.440002287901,9.73066038251,85.2490873724
71734,180973103052,30.0469817579,0.440002287901,9.73066038251,85.2490873724
71735,180973103053,30.0469817579,0.440002287901,9.73066038251,85.2490873724
71736,180973103061,29.6307206106,0.425256094757,9.78346530055,86.1205120806
71737,180973103062,29.6307206106,0.425256094757,9.78346530055,86.1205120806
71738,180973103063,29.6307206106,0.425256094757,9.78346530055,86.1205120806
71739,180973103081,29.9586135203,0.430182983886,9.77157622951,85.9322828357
71740,180973103082,29.9586135203,0.430182983886,9.77157622951,85.9322828357
71741,180973103091,30.065940265,0.44674382071,9.74210355191,85.4388650225
71742,180973103092,30.065940265,0.44674382071,9.74210355191,85.4388650225
71743,180973103101,29.7612388031,0.445296285418,9.72309016393,85.1254856196
71744,180973103102,29.7612388031,0.445296285418,9.72309016393,85.1254856196
71745,180973103111,30.2767033455,0.424792691705,9.80498306011,86.4978898282
71746,180973103112,30.2767033455,0.424792691705,9.80498306011,86.4978898282
71747,180973103113,30.2767033455,0.424792691705,9.80498306011,86.4978898282
71748,180973103121,31.2655794496,0.463512231225,9.76785300546,85.865985876
71749,180973103122,31.2655794496,0.463512231225,9.76785300546,85.865985876
71750,180973103123,31.2655794496,0.463512231225,9.76785300546,85.865985876
71751,180973201051,29.4521067501,0.411820905096,9.68634098361,84.4601179867
71752,180973201052,29.4521067501,0.411820905096,9.68634098361,84.4601179867
71753,180973201061,29.2050843452,0.408881867997,9.69191857923,84.5723257728
71754,180973201062,29.2050843452,0.408881867997,9.69191857923,84.5723257728
71755,180973201071,29.5145484567,0.415498731498,9.69141202186,84.5609503105
71756,180973201072,29.5145484567,0.415498731498,9.69141202186,84.5609503105
71757,180973201081,29.2131276226,0.402008805518,9.70671202186,84.8305998895
71758,180973201082,29.2131276226,0.402008805518,9.70671202186,84.8305998895
71759,180973201083,29.2131276226,0.402008805518,9.70671202186,84.8305998895
71760,180973201091,29.7294702065,0.411696382179,9.72451092896,85.1420272417
71761,180973201092,29.7294702065,0.411696382179,9.72451092896,85.1420272417
71762,180973202021,29.4483756592,0.407761478199,9.7264795082,85.1778773547
71763,180973202022,29.4483756592,0.407761478199,9.7264795082,85.1778773547
71764,180973202023,29.4483756592,0.407761478199,9.7264795082,85.1778773547
71765,180973202031,29.4508256985,0.414288808605,9.66815491803,84.1626168724
71766,180973202032,29.4508256985,0.414288808605,9.66815491803,84.1626168724
71767,180973202041,29.7844742733,0.423893205042,9.67197322404,84.2344560376
71768,180973202042,29.7844742733,0.423893205042,9.67197322404,84.2344560376
71769,180973202043,29.7844742733,0.423893205042,9.67197322404,84.2344560376
71770,180973203011,30.193855705,0.428321262709,9.71990081967,85.0686616256
71771,180973203012,30.193855705,0.428321262709,9.71990081967,85.0686616256
71772,180973203013,30.193855705,0.428321262709,9.71990081967,85.0686616256
71773,180973203031,30.4193459532,0.439119544055,9.64623852459,83.7821648959
71774,180973203032,30.4193459532,0.439119544055,9.64623852459,83.7821648959
71775,180973203041,30.2293541589,0.431840710818,9.68477568306,84.4322482608
71776,180973203042,30.2293541589,0.431840710818,9.68477568306,84.4322482608
71777,180973203043,30.2293541589,0.431840710818,9.68477568306,84.4322482608
71778,180973203044,30.2293541589,0.431840710818,9.68477568306,84.4322482608
